,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
461,2022-10-29,Stanford,UCLA,Rose Bowl,"Pasadena, CA",FBS,"(34.1476452, -118.1444779)",2022-10-30,San Francisco 49ers,Los Angeles Rams,SoFi Stadium,"Inglewood, CA",NFL,"(33.9562003, -118.353132)",,,,,,,
462,2022-10-29,Michigan State,Michigan,Michigan Stadium,"Ann Arbor, MI",FBS,"(42.2681569, -83.7312291)",2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",,,,,,,
463,2022-10-29,Michigan State,Michigan,Michigan Stadium,"Ann Arbor, MI",FBS,"(42.2681569, -83.7312291)",2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-10-31 00:00:00,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)"
464,2022-10-29,Rutgers,Minnesota,Huntington Bank Stadium,"Minneapolis, MN",FBS,"(44.9772995, -93.2654692)",2022-10-30,Arizona Cardinals,Minnesota Vikings,U.S. Bank Stadium,"Minneapolis, MN",NFL,"(44.9772995, -93.2654692)",,,,,,,
465,2022-10-29,Miami (OH),Akron,InfoCision Stadium,"Akron, OH",FBS,"(41.083064, -81.518485)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",,,,,,,
466,2022-10-29,Miami (OH),Akron,InfoCision Stadium,"Akron, OH",FBS,"(41.083064, -81.518485)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",2022-11-01 00:00:00,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)"
467,2022-10-29,Miami (OH),Akron,InfoCision Stadium,"Akron, OH",FBS,"(41.083064, -81.518485)",2022-11-01,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",,,,,,,
468,2022-10-29,South Florida,Houston,TDECU Stadium,"Houston, TX",FBS,"(29.7589382, -95.3676974)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
469,2022-10-29,Ole Miss,Texas A&M,Kyle Field,"College Station, TX",FBS,"(30.5955289, -96.3071042)",2022-10-30,Tennessee Titans,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",,,,,,,
470,2022-10-29,Toledo,Eastern Michigan,Rynearson Stadium,"Ypsilanti, MI",FBS,"(42.2410562, -83.613055)",2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",,,,,,,
471,2022-10-29,Toledo,Eastern Michigan,Rynearson Stadium,"Ypsilanti, MI",FBS,"(42.2410562, -83.613055)",2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-10-31 00:00:00,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)"
472,2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",,,,,,,
473,2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",2022-11-01 00:00:00,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)"
474,2022-10-30,Miami Dolphins,Detroit Lions,Ford Field,"Detroit, MI",NFL,"(42.3315509, -83.0466403)",2022-11-02,Western Michigan,Bowling Green,Doyt L. Perry Stadium,"Bowling Green, OH",FBS,"(41.3747744, -83.6513229)",,,,,,,
475,2022-10-31,Cincinnati Bengals,Cleveland Browns,FirstEnergy Stadium,"Cleveland, OH",NFL,"(41.4996562, -81.6936813)",2022-11-01,Ball State,Kent State,Dix Stadium,"Kent, OH",FBS,"(41.1536674, -81.357886)",,,,,,,
476,2022-11-02,Central Michigan,Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",2022-11-05,St. Thomas - Minnesota,Valparaiso,Brown Field,"Valparaiso, IN",FCS,"(41.4730948, -87.0611412)",,,,,,,
477,2022-11-02,Central Michigan,Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",2022-11-05,St. Thomas - Minnesota,Valparaiso,Brown Field,"Valparaiso, IN",FCS,"(41.4730948, -87.0611412)",2022-11-06 00:00:00,Miami Dolphins,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)"
478,2022-11-02,Central Michigan,Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",2022-11-05,Ohio State,Northwestern,Ryan Field,"Evanston, IL",FBS,"(42.0447388, -87.6930459)",,,,,,,
479,2022-11-02,Central Michigan,Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",2022-11-05,Ohio State,Northwestern,Ryan Field,"Evanston, IL",FBS,"(42.0447388, -87.6930459)",2022-11-06 00:00:00,Miami Dolphins,Chicago Bears,Soldier Field,"Chicago, IL",NFL,"(41.8755616, -87.6244212)"
480,2022-11-02,Central Michigan,Northern Illinois,Huskie Stadium,"DeKalb, IL",FBS,"(41.8903447, -88.7713953)",2022-11-05,Maryland,Wisconsin,Camp Randall Stadium,"Madison, WI",FBS,"(43.074761, -89.3837613)",,,,,,,
481,2022-11-03,Philadelphia Eagles,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",2022-11-05,UTEP,Rice,Rice Stadium,"Houston, TX",FBS,"(29.7589382, -95.3676974)",,,,,,,
482,2022-11-03,Philadelphia Eagles,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",2022-11-05,Alcorn State,Prairie View A&M,Panther Stadium at Blackshear Field,"Prairie View, TX",FCS,"(30.0857916, -95.9907058)",,,,,,,
